match_id,season,date,kickoff_time,home_team_id,away_team_id,home_goals_scored_avg,home_goals_conceded_avg,away_goals_scored_avg,away_goals_conceded_avg,home_history_matches,away_history_matches,home_home_goals_scored_avg,home_home_goals_conceded_avg,home_home_matches,away_away_goals_scored_avg,away_away_goals_conceded_avg,away_away_matches,home_recent5_scored,home_recent5_conceded,home_recent5_matches,away_recent5_scored,away_recent5_conceded,away_recent5_matches,home_recent10_scored,home_recent10_conceded,home_recent10_matches,away_recent10_scored,away_recent10_conceded,away_recent10_matches,league_matches_before,league_goals_avg,target_total_goals,target_over25
2015_16_20150927_WAT_CRY,2015_16,2015-09-27,,WAT,CRY,0.8333333333333334,0.8333333333333334,1.3333333333333333,1.1666666666666667,6,6,0.3333333333333333,0.0,3,1.6666666666666667,1.0,3,0.6,0.6,5,1.0,1.2,5,0.8333333333333334,0.8333333333333334,6,1.3333333333333333,1.1666666666666667,6,68,2.661764705882353,1,0
2015_16_20150928_WBA_EVE,2015_16,2015-09-28,,WBA,EVE,0.6666666666666666,1.0,1.3333333333333333,0.8333333333333334,6,6,0.6666666666666666,2.0,3,1.0,0.0,3,0.8,0.6,5,1.2,0.6,5,0.6666666666666666,1.0,6,1.3333333333333333,0.8333333333333334,6,69,2.63768115942029,5,1
2015_16_20151003_AVL_STK,2015_16,2015-10-03,,AVL,STK,1.1428571428571428,1.7142857142857142,1.0,1.4285714285714286,7,7,0.6666666666666666,1.3333333333333333,3,1.0,1.6666666666666667,3,1.4,2.2,5,1.0,1.4,5,1.1428571428571428,1.7142857142857142,7,1.0,1.4285714285714286,7,70,2.6714285714285713,1,0
2015_16_20151003_BOU_WAT,2015_16,2015-10-03,,BOU,WAT,1.2857142857142858,1.5714285714285714,0.7142857142857143,0.8571428571428571,7,7,1.0,0.6666666666666666,3,1.3333333333333333,1.6666666666666667,3,1.8,1.8,5,0.6,0.8,5,1.2857142857142858,1.5714285714285714,7,0.7142857142857143,0.8571428571428571,7,71,2.647887323943662,2,0
2015_16_20151003_CHE_SOU,2015_16,2015-10-03,,CHE,SOU,1.5714285714285714,2.0,1.4285714285714286,1.2857142857142858,7,7,1.6666666666666667,1.3333333333333333,3,0.6666666666666666,0.6666666666666666,3,1.8,1.8,5,1.6,0.8,5,1.5714285714285714,2.0,7,1.4285714285714286,1.2857142857142858,7,72,2.638888888888889,4,1
2015_16_20151003_CRY_WBA,2015_16,2015-10-03,,CRY,WBA,1.2857142857142858,1.0,0.8571428571428571,1.2857142857142858,7,7,1.0,1.3333333333333333,3,0.6666666666666666,0.0,3,1.0,0.8,5,1.2,1.2,5,1.2857142857142858,1.0,7,0.8571428571428571,1.2857142857142858,7,73,2.6575342465753424,2,0
2015_16_20151003_MCI_NEW,2015_16,2015-10-03,,MCI,NEW,1.8571428571428572,0.8571428571428571,0.7142857142857143,1.5714285714285714,7,7,2.0,0.6666666666666666,3,0.0,1.3333333333333333,3,1.4,1.2,5,0.6,1.4,5,1.8571428571428572,0.8571428571428571,7,0.7142857142857143,1.5714285714285714,7,74,2.6486486486486487,7,1
2015_16_20151003_NOR_LEI,2015_16,2015-10-03,,NOR,LEI,1.5714285714285714,1.7142857142857142,2.142857142857143,2.0,7,7,1.6666666666666667,1.6666666666666667,3,1.6666666666666667,1.3333333333333333,3,1.4,1.6,5,1.8,2.2,5,1.5714285714285714,1.7142857142857142,7,2.142857142857143,2.0,7,75,2.7066666666666666,3,1
2015_16_20151003_SUN_WHU,2015_16,2015-10-03,,SUN,WHU,0.8571428571428571,2.2857142857142856,2.142857142857143,1.2857142857142858,7,7,0.6666666666666666,1.6666666666666667,3,2.3333333333333335,0.3333333333333333,3,0.6,1.8,5,2.4,1.4,5,0.8571428571428571,2.2857142857142856,7,2.142857142857143,1.2857142857142858,7,76,2.710526315789474,4,1
2015_16_20151004_ARS_MUN,2015_16,2015-10-04,,ARS,MUN,1.4285714285714286,1.0,1.7142857142857142,0.7142857142857143,7,7,0.6666666666666666,0.6666666666666666,3,1.6666666666666667,1.3333333333333333,3,1.6,0.8,5,2.0,1.0,5,1.4285714285714286,1.0,7,1.7142857142857142,0.7142857142857143,7,77,2.727272727272727,3,1
