match_id,season,market,selection,opening_price,opening_source_column,opening_source,closing_price,closing_source_column,closing_source,has_opening,has_closing,raw_row,closing_implied_probability,opening_implied_probability,price_change,implied_probability_change,closing_available,opening_available,odds_change,odds_change_pct,probability_change,clv,movement
2019_20_24/08/2019_Norwich_Chelsea,2019_20,OVER_2.5,UNDER_2.5,2.5,B365<2.5,BET365,2.37,B365C<2.5,BET365,True,True,21,0.42194092827004215,0.4,-0.1299999999999999,0.0219409282700421,True,True,-0.1299999999999999,-0.051999999999999935,0.021940928270042126,-0.051999999999999935,SHORTENED
2019_20_24/08/2019_Brighton_Southampton,2019_20,OVER_2.5,OVER_2.5,2.1,B365>2.5,BET365,2.0,B365C>2.5,BET365,True,True,22,0.5,0.47619047619047616,-0.1,0.0238095238095238,True,True,-0.10000000000000009,-0.04761904761904767,0.023809523809523836,-0.04761904761904767,SHORTENED
2019_20_24/08/2019_Brighton_Southampton,2019_20,OVER_2.5,UNDER_2.5,1.72,B365<2.5,BET365,1.8,B365C<2.5,BET365,True,True,22,0.5555555555555556,0.5813953488372093,0.08,-0.0258397932816537,True,True,0.08000000000000007,0.04651162790697683,-0.025839793281653756,0.04651162790697683,DRIFTED
2019_20_24/08/2019_Man United_Crystal Palace,2019_20,OVER_2.5,OVER_2.5,1.72,B365>2.5,BET365,1.61,B365C>2.5,BET365,True,True,23,0.6211180124223602,0.5813953488372093,-0.1099999999999998,0.0397226635851508,True,True,-0.10999999999999988,-0.06395348837209291,0.039722663585150864,-0.06395348837209291,SHORTENED
2019_20_24/08/2019_Man United_Crystal Palace,2019_20,OVER_2.5,UNDER_2.5,2.1,B365<2.5,BET365,2.3,B365C<2.5,BET365,True,True,23,0.4347826086956522,0.47619047619047616,0.1999999999999997,-0.0414078674948239,True,True,0.19999999999999973,0.09523809523809512,-0.04140786749482395,0.09523809523809512,DRIFTED
2019_20_24/08/2019_Sheffield United_Leicester,2019_20,OVER_2.5,OVER_2.5,2.3,B365>2.5,BET365,2.2,B365C>2.5,BET365,True,True,24,0.45454545454545453,0.4347826086956522,-0.0999999999999996,0.0197628458498023,True,True,-0.09999999999999964,-0.04347826086956508,0.019762845849802313,-0.04347826086956508,SHORTENED
2019_20_24/08/2019_Sheffield United_Leicester,2019_20,OVER_2.5,UNDER_2.5,1.61,B365<2.5,BET365,1.66,B365C<2.5,BET365,True,True,24,0.6024096385542169,0.6211180124223602,0.0499999999999998,-0.0187083738681432,True,True,0.04999999999999982,0.03105590062111796,-0.01870837386814328,0.03105590062111796,DRIFTED
2019_20_24/08/2019_Watford_West Ham,2019_20,OVER_2.5,OVER_2.5,1.72,B365>2.5,BET365,1.66,B365C>2.5,BET365,True,True,25,0.6024096385542169,0.5813953488372093,-0.06,0.0210142897170075,True,True,-0.06000000000000005,-0.03488372093023262,0.021014289717007584,-0.03488372093023262,SHORTENED
2019_20_24/08/2019_Watford_West Ham,2019_20,OVER_2.5,UNDER_2.5,2.1,B365<2.5,BET365,2.2,B365C<2.5,BET365,True,True,25,0.45454545454545453,0.47619047619047616,0.1,-0.0216450216450216,True,True,0.10000000000000009,0.04761904761904767,-0.021645021645021634,0.04761904761904767,DRIFTED
2019_20_24/08/2019_Liverpool_Arsenal,2019_20,OVER_2.5,OVER_2.5,1.44,B365>2.5,BET365,1.36,B365C>2.5,BET365,True,True,26,0.7352941176470588,0.6944444444444444,-0.0799999999999998,0.0408496732026143,True,True,-0.07999999999999985,-0.05555555555555547,0.040849673202614345,-0.05555555555555547,SHORTENED
2019_20_24/08/2019_Liverpool_Arsenal,2019_20,OVER_2.5,UNDER_2.5,2.75,B365<2.5,BET365,3.2,B365C<2.5,BET365,True,True,26,0.3125,0.36363636363636365,0.4500000000000002,-0.0511363636363636,True,True,0.4500000000000002,0.1636363636363638,-0.051136363636363646,0.1636363636363638,DRIFTED
2019_20_25/08/2019_Bournemouth_Man City,2019_20,OVER_2.5,OVER_2.5,1.36,B365>2.5,BET365,1.3,B365C>2.5,BET365,True,True,27,0.7692307692307692,0.7352941176470588,-0.06,0.0339366515837104,True,True,-0.06000000000000005,-0.044117647058823595,0.0339366515837104,-0.044117647058823595,SHORTENED
2019_20_25/08/2019_Bournemouth_Man City,2019_20,OVER_2.5,UNDER_2.5,3.2,B365<2.5,BET365,3.5,B365C<2.5,BET365,True,True,27,0.2857142857142857,0.3125,0.2999999999999998,-0.0267857142857143,True,True,0.2999999999999998,0.09375,-0.0267857142857143,0.09375,DRIFTED
2019_20_25/08/2019_Tottenham_Newcastle,2019_20,OVER_2.5,OVER_2.5,1.53,B365>2.5,BET365,1.57,B365C>2.5,BET365,True,True,28,0.6369426751592356,0.6535947712418301,0.04,-0.0166520960825944,True,True,0.040000000000000036,0.026143790849673332,-0.016652096082594436,0.026143790849673332,DRIFTED
2019_20_25/08/2019_Tottenham_Newcastle,2019_20,OVER_2.5,UNDER_2.5,2.5,B365<2.5,BET365,2.37,B365C<2.5,BET365,True,True,28,0.42194092827004215,0.4,-0.1299999999999999,0.0219409282700421,True,True,-0.1299999999999999,-0.051999999999999935,0.021940928270042126,-0.051999999999999935,SHORTENED
2019_20_25/08/2019_Wolves_Burnley,2019_20,OVER_2.5,OVER_2.5,2.3,B365>2.5,BET365,2.2,B365C>2.5,BET365,True,True,29,0.45454545454545453,0.4347826086956522,-0.0999999999999996,0.0197628458498023,True,True,-0.09999999999999964,-0.04347826086956508,0.019762845849802313,-0.04347826086956508,SHORTENED
2019_20_25/08/2019_Wolves_Burnley,2019_20,OVER_2.5,UNDER_2.5,1.61,B365<2.5,BET365,1.66,B365C<2.5,BET365,True,True,29,0.6024096385542169,0.6211180124223602,0.0499999999999998,-0.0187083738681432,True,True,0.04999999999999982,0.03105590062111796,-0.01870837386814328,0.03105590062111796,DRIFTED
2019_20_31/08/2019_Southampton_Man United,2019_20,OVER_2.5,OVER_2.5,1.9,B365>2.5,BET365,1.9,B365C>2.5,BET365,True,True,30,0.5263157894736842,0.5263157894736842,0.0,0.0,True,True,0.0,0.0,0.0,0.0,UNCHANGED
2019_20_31/08/2019_Southampton_Man United,2019_20,OVER_2.5,UNDER_2.5,1.9,B365<2.5,BET365,1.9,B365C<2.5,BET365,True,True,30,0.5263157894736842,0.5263157894736842,0.0,0.0,True,True,0.0,0.0,0.0,0.0,UNCHANGED
2019_20_31/08/2019_Chelsea_Sheffield United,2019_20,OVER_2.5,OVER_2.5,1.72,B365>2.5,BET365,1.72,B365C>2.5,BET365,True,True,31,0.5813953488372093,0.5813953488372093,0.0,0.0,True,True,0.0,0.0,0.0,0.0,UNCHANGED
2019_20_31/08/2019_Chelsea_Sheffield United,2019_20,OVER_2.5,UNDER_2.5,2.1,B365<2.5,BET365,2.1,B365C<2.5,BET365,True,True,31,0.47619047619047616,0.47619047619047616,0.0,0.0,True,True,0.0,0.0,0.0,0.0,UNCHANGED
2019_20_31/08/2019_Crystal Palace_Aston Villa,2019_20,OVER_2.5,OVER_2.5,1.9,B365>2.5,BET365,1.9,B365C>2.5,BET365,True,True,32,0.5263157894736842,0.5263157894736842,0.0,0.0,True,True,0.0,0.0,0.0,0.0,UNCHANGED
2019_20_31/08/2019_Crystal Palace_Aston Villa,2019_20,OVER_2.5,UNDER_2.5,1.9,B365<2.5,BET365,1.9,B365C<2.5,BET365,True,True,32,0.5263157894736842,0.5263157894736842,0.0,0.0,True,True,0.0,0.0,0.0,0.0,UNCHANGED
2019_20_31/08/2019_Leicester_Bournemouth,2019_20,OVER_2.5,OVER_2.5,1.66,B365>2.5,BET365,1.72,B365C>2.5,BET365,True,True,33,0.5813953488372093,0.6024096385542169,0.06,-0.0210142897170075,True,True,0.06000000000000005,0.03614457831325302,-0.021014289717007584,0.03614457831325302,DRIFTED
2019_20_31/08/2019_Leicester_Bournemouth,2019_20,OVER_2.5,UNDER_2.5,2.2,B365<2.5,BET365,2.1,B365C<2.5,BET365,True,True,33,0.47619047619047616,0.45454545454545453,-0.1,0.0216450216450216,True,True,-0.10000000000000009,-0.045454545454545525,0.021645021645021634,-0.045454545454545525,SHORTENED
2019_20_31/08/2019_Man City_Brighton,2019_20,OVER_2.5,OVER_2.5,1.3,B365>2.5,BET365,1.33,B365C>2.5,BET365,True,True,34,0.7518796992481203,0.7692307692307692,0.03,-0.0173510699826489,True,True,0.030000000000000027,0.023076923076922995,-0.017351069982648903,0.023076923076922995,DRIFTED
2019_20_31/08/2019_Man City_Brighton,2019_20,OVER_2.5,UNDER_2.5,3.5,B365<2.5,BET365,3.4,B365C<2.5,BET365,True,True,34,0.29411764705882354,0.2857142857142857,-0.1,0.0084033613445378,True,True,-0.10000000000000009,-0.02857142857142858,0.00840336134453784,-0.02857142857142858,SHORTENED
2019_20_31/08/2019_Newcastle_Watford,2019_20,OVER_2.5,OVER_2.5,2.0,B365>2.5,BET365,2.1,B365C>2.5,BET365,True,True,35,0.47619047619047616,0.5,0.1,-0.0238095238095238,True,True,0.10000000000000009,0.050000000000000044,-0.023809523809523836,0.050000000000000044,DRIFTED
2019_20_31/08/2019_Newcastle_Watford,2019_20,OVER_2.5,UNDER_2.5,1.8,B365<2.5,BET365,1.72,B365C<2.5,BET365,True,True,35,0.5813953488372093,0.5555555555555556,-0.08,0.0258397932816537,True,True,-0.08000000000000007,-0.04444444444444451,0.025839793281653756,-0.04444444444444451,SHORTENED
2019_20_31/08/2019_West Ham_Norwich,2019_20,OVER_2.5,OVER_2.5,1.44,B365>2.5,BET365,1.4,B365C>2.5,BET365,True,True,36,0.7142857142857143,0.6944444444444444,-0.04,0.0198412698412698,True,True,-0.040000000000000036,-0.02777777777777779,0.019841269841269882,-0.02777777777777779,SHORTENED
2019_20_31/08/2019_West Ham_Norwich,2019_20,OVER_2.5,UNDER_2.5,2.75,B365<2.5,BET365,3.0,B365C<2.5,BET365,True,True,36,0.3333333333333333,0.36363636363636365,0.25,-0.0303030303030303,True,True,0.25,0.09090909090909083,-0.03030303030303033,0.09090909090909083,DRIFTED
2019_20_31/08/2019_Burnley_Liverpool,2019_20,OVER_2.5,OVER_2.5,1.61,B365>2.5,BET365,1.53,B365C>2.5,BET365,True,True,37,0.6535947712418301,0.6211180124223602,-0.08,0.0324767588194698,True,True,-0.08000000000000007,-0.049689440993788914,0.032476758819469875,-0.049689440993788914,SHORTENED
2019_20_31/08/2019_Burnley_Liverpool,2019_20,OVER_2.5,UNDER_2.5,2.3,B365<2.5,BET365,2.5,B365C<2.5,BET365,True,True,37,0.4,0.4347826086956522,0.2000000000000001,-0.0347826086956521,True,True,0.20000000000000018,0.0869565217391306,-0.034782608695652195,0.0869565217391306,DRIFTED
