match_id,season,opening_price,closing_price,opening_raw_probability,closing_raw_probability,opening_fair_probability,closing_fair_probability,fair_probability_change,price_clv,fair_probability_clv,opening_overround,closing_overround,opening_margin,closing_margin,selection
2019_20_01/09/2019_Arsenal_Tottenham,2019_20,1.57,1.53,0.6369426751592356,0.6535947712418301,0.6015228426395939,0.6203473945409429,0.018824551901349018,0.026143790849673332,-0.030345177664974576,1.058883603429278,1.05359477124183,0.0588836034292779,0.0535947712418301,OVER
2019_20_01/09/2019_Everton_Wolves,2019_20,2.2,2.3,0.45454545454545453,0.4347826086956522,0.43005181347150256,0.411764705882353,-0.018287107589149587,-0.04347826086956508,0.044411547002220386,1.0569550930996714,1.0559006211180124,0.056955093099671394,0.05590062111801242,OVER
2019_20_01/12/2019_Leicester_Everton,2019_20,1.8,1.8,0.5555555555555556,0.5555555555555556,0.5263157894736842,0.5263157894736842,0.0,0.0,0.0,1.0555555555555556,1.0555555555555556,0.05555555555555558,0.05555555555555558,OVER
2019_20_01/12/2019_Man United_Aston Villa,2019_20,1.72,1.53,0.5813953488372093,0.6535947712418301,0.549738219895288,0.6203473945409429,0.07060917464565486,0.12418300653594772,-0.11382198952879563,1.0575858250276855,1.05359477124183,0.0575858250276855,0.0535947712418301,OVER
2019_20_01/12/2019_Norwich_Arsenal,2019_20,1.4,1.4,0.7142857142857143,0.7142857142857143,0.6818181818181818,0.6818181818181818,0.0,0.0,0.0,1.0476190476190477,1.0476190476190477,0.04761904761904767,0.04761904761904767,OVER
2019_20_01/12/2019_Wolves_Sheffield United,2019_20,2.3,2.37,0.4347826086956522,0.42194092827004215,0.411764705882353,0.398477157360406,-0.013287548521946968,-0.029535864978903037,0.03334582240539552,1.0559006211180124,1.058883603429278,0.05590062111801242,0.0588836034292779,OVER
2019_20_02/01/2020_Liverpool_Sheffield United,2019_20,1.53,1.72,0.6535947712418301,0.5813953488372093,0.6203473945409429,0.549738219895288,-0.07060917464565486,-0.11046511627906974,0.12844145102209592,1.05359477124183,1.0575858250276855,0.0535947712418301,0.0575858250276855,OVER
2019_20_02/02/2020_Burnley_Arsenal,2019_20,1.9,1.72,0.5263157894736842,0.5813953488372093,0.5,0.549738219895288,0.04973821989528804,0.10465116279069764,-0.0904761904761906,1.0526315789473684,1.0575858250276855,0.05263157894736836,0.0575858250276855,OVER
2019_20_02/02/2020_Tottenham_Man City,2019_20,1.5,1.53,0.6666666666666666,0.6535947712418301,0.6359223300970874,0.6203473945409429,-0.015574935556144531,-0.019607843137254943,0.025106796116505015,1.0483460559796436,1.05359477124183,0.04834605597964359,0.0535947712418301,OVER
2019_20_02/07/2020_Man City_Liverpool,2019_20,1.57,1.72,0.6369426751592356,0.5813953488372093,0.6015228426395939,0.549738219895288,-0.05178462274430584,-0.08720930232558133,0.0941986947063087,1.058883603429278,1.0575858250276855,0.0588836034292779,0.0575858250276855,OVER
2019_20_02/07/2020_Sheffield United_Tottenham,2019_20,2.2,2.1,0.45454545454545453,0.47619047619047616,0.43005181347150256,0.450261780104712,0.020209966633209453,0.04761904761904767,-0.04488492589468607,1.0569550930996714,1.0575858250276855,0.056955093099671394,0.0575858250276855,OVER
2019_20_02/11/2019_Arsenal_Wolves,2019_20,1.72,1.66,0.5813953488372093,0.6024096385542169,0.549738219895288,0.5699481865284974,0.020209966633209397,0.03614457831325302,-0.03545930509281281,1.0575858250276855,1.0569550930996714,0.0575858250276855,0.056955093099671394,OVER
2019_20_02/11/2019_Aston Villa_Liverpool,2019_20,1.44,1.4,0.6944444444444444,0.7142857142857143,0.6563245823389022,0.6818181818181818,0.02549359947927954,0.028571428571428692,-0.03739061256960996,1.058080808080808,1.0476190476190477,0.058080808080807955,0.04761904761904767,OVER
2019_20_02/11/2019_Bournemouth_Man United,2019_20,1.9,1.9,0.5263157894736842,0.5263157894736842,0.5,0.5,0.0,0.0,0.0,1.0526315789473684,1.0526315789473684,0.05263157894736836,0.05263157894736836,OVER
2019_20_02/11/2019_Brighton_Norwich,2019_20,1.66,1.57,0.6024096385542169,0.6369426751592356,0.5699481865284974,0.6015228426395939,0.031574656111096444,0.0573248407643312,-0.05249120045473421,1.0569550930996714,1.058883603429278,0.056955093099671394,0.0588836034292779,OVER
2019_20_02/11/2019_Man City_Southampton,2019_20,1.22,1.22,0.819672131147541,0.819672131147541,0.7801801801801801,0.7801801801801801,0.0,0.0,0.0,1.0506190133646311,1.0506190133646311,0.05061901336463115,0.05061901336463115,OVER
